case;GroundTruth_bin;GroundTruth_src;GroundTruth_message;roseau_bin;roseau_src;correct_roseau_bin;correct_roseau_src;roseau_message;japicmp_bin;japicmp_src;correct_japicmp_bin;correct_japicmp_src;japicmp_message;revapi_bin;revapi_src;correct_revapi_bin;correct_revapi_src;revapi_message
ExecutableNoLongerThrowsCheckedExceptionTest_method_no_longer_throws;false;true;Compiler: compiler.err.except.never.thrown.in.try;false;true;true;true;EXECUTABLE_NO_LONGER_THROWS_CHECKED_EXCEPTION;false;true;true;true;JApiCompatibilityChange{type=METHOD_NO_LONGER_THROWS_CHECKED_EXCEPTION};false;true;true;true;Method no longer throws checked exceptions
ExecutableParameterGenericsChangedTest_generic_method_wildcard_added;false;true;Compiler: compiler.err.name.clash.same.erasure.no.override, compiler.err.method.does.not.override.superclass;false;true;true;true;EXECUTABLE_PARAMETER_GENERICS_CHANGED;false;false;true;false;;false;true;true;true;type parameter of method parameter changed
ClassNowStaticTest_doubly_nested_class_now_static;true;true;Compiler: compiler.err.qualified.new.of.static.classLinker: Exception in thread "main" java.lang.NoSuchMethodError: 'void ClassNowStaticTest_doubly_nested_class_now_static.A$B$C.<init>(ClassNowStaticTest_doubly_nested_class_now_static.A$B)';true;true;true;true;CLASS_NOW_STATIC;true;true;true;true;JApiCompatibilityChange{type=CONSTRUCTOR_REMOVED};false;false;false;false;
ExecutableNowThrowsCheckedExceptionTest_method_now_throws_multiple_from_none;false;true;Compiler: compiler.err.unreported.exception.need.to.catch.or.throw;false;true;true;true;EXECUTABLE_NOW_THROWS_CHECKED_EXCEPTION, EXECUTABLE_NOW_THROWS_CHECKED_EXCEPTION;false;true;true;true;JApiCompatibilityChange{type=METHOD_NOW_THROWS_CHECKED_EXCEPTION};false;true;true;true;Method newly throws checked exceptions, Method newly throws checked exceptions
AnnotationTargetRemovedTest_empty_annotation_target_compatible;false;false;;false;false;true;true;;false;false;true;true;JApiCompatibilityChange{type=ANNOTATION_MODIFIED};false;false;true;true;annotation attribute changed
AnnotationNoLongerRepeatableTest_annotation_no_longer_repeatable;false;true;Compiler: compiler.err.duplicate.annotation.missing.container;false;true;true;true;ANNOTATION_NO_LONGER_REPEATABLE;false;false;true;false;JApiCompatibilityChange{type=ANNOTATION_REMOVED};false;false;true;false;removed annotation
TypeRemovedTest_anonymous_nested_class_removed;false;false;;false;false;true;true;;true;true;false;false;JApiCompatibilityChange{type=CONSTRUCTOR_REMOVED}, JApiCompatibilityChange{type=SUPERCLASS_REMOVED}, JApiCompatibilityChange{type=CLASS_REMOVED};false;false;true;true;
ClassNoLongerStaticTest_nested_enum_no_longer_static;false;false;;false;false;true;true;;false;false;true;true;;false;false;true;true;
ExecutableRemovedTest_overloaded_constructor_removed;true;true;Compiler: compiler.err.prob.found.reqLinker: Exception in thread "main" java.lang.NoSuchMethodError: 'void ExecutableRemovedTest_overloaded_constructor_removed.A.<init>(boolean)';true;true;true;true;EXECUTABLE_REMOVED;true;true;true;true;JApiCompatibilityChange{type=CONSTRUCTOR_REMOVED};true;true;true;true;method removed
ExecutableNowThrowsCheckedExceptionTest_final_method_now_throws_supertype;false;true;Compiler: compiler.err.unreported.exception.need.to.catch.or.throw;false;true;true;true;EXECUTABLE_NOW_THROWS_CHECKED_EXCEPTION, EXECUTABLE_NO_LONGER_THROWS_CHECKED_EXCEPTION;false;true;true;true;JApiCompatibilityChange{type=METHOD_NO_LONGER_THROWS_CHECKED_EXCEPTION}, JApiCompatibilityChange{type=METHOD_NOW_THROWS_CHECKED_EXCEPTION};false;true;true;true;Method newly throws checked exceptions, Method no longer throws checked exceptions
